lat,lng,Structure_Number,system_use_code,city_id,geometry_x,geometry_y
36.956003748929064,-76.26315199793366,G02363,,6,-8489575.2467,4432976.0502
36.95592078938847,-76.2580272350019,H02402,,6,-8489004.7607,4432964.4934
36.94450494315259,-76.2674287503389,G0327,,6,-8490051.3326,4431374.312299997
36.94423600658883,-76.26757531946066,G0326,,6,-8490067.6486,4431336.853399999
36.94416774796019,-76.2673221454675,G0317,,6,-8490039.4654,4431327.346000001
36.944089503971114,-76.26744556769934,G0318,,6,-8490053.2047,4431316.447800003
36.94414128492762,-76.2688297556695,G0322,,6,-8490207.2918,4431323.660099998
36.95623986167557,-76.25784126936506,H023165,,6,-8488984.0591,4433008.942299999
36.95600981971361,-76.25808325484134,H023164,,6,-8489010.9968,4432976.895900004
36.9558869804497,-76.26289440063606,G02376,,6,-8489546.5711,4432959.7836000025
36.95566414960681,-76.25384723564434,H024051,,6,-8488539.4453,4432928.741899997
36.95572975411487,-76.25857930364292,H023159,,6,-8489066.2167,4432937.880999997
36.95558739259802,-76.2532441606615,H024045,,6,-8488472.3113,4432918.049199998
36.955749836515615,-76.2577576595683,H02404,,6,-8488974.7517,4432940.678599998
36.9556577485862,-76.25785294836206,H02403,,6,-8488985.3592,4432927.850199997
36.955365258626294,-76.26237334543193,G02374,,6,-8489488.5675,4432887.104699999
36.955123525994495,-76.25391198441339,H021017,,6,-8488546.6531,4432853.430100001
36.95504064948353,-76.25399514684915,H021018,,6,-8488555.9107,4432841.884999998
36.95508765575433,-76.25901870468267,H02394,,6,-8489115.1306,4432848.433200002
36.95481827917928,-76.2592034989164,H02392,,6,-8489135.7018,4432810.907799996
36.95469496133856,-76.26351789702025,G02373,,6,-8489615.9784,4432793.729099996
36.95440452362202,-76.26099665569943,H02377,,6,-8489335.3151,4432753.270000003
36.954139580999296,-76.26025570010026,H02382,,6,-8489252.8323,4432716.362599999
36.954139291702155,-76.2612357836348,H02378,,6,-8489361.9347,4432716.322300002
36.95408231162445,-76.26114603924297,H02379,,6,-8489351.9444,4432708.384800002
36.95390573448976,-76.2577676218848,H023148,,6,-8488975.8607,4432683.787100002
36.95391461514988,-76.2572610106921,H023304,,6,-8488919.465,4432685.0242
36.95388071271636,-76.25714659047775,H023305,,6,-8488906.7278,4432680.3015
36.95162600010915,-76.2541394827591,H031043,,6,-8488571.9781,4432366.218699999
36.951547610871025,-76.25420684742225,H031044,,6,-8488579.4771,4432355.299199998
36.95165692433452,-76.25979374416035,H033137,,6,-8489201.4076,4432370.5264
36.95160344064303,-76.25987063635542,H033138,,6,-8489209.9672,4432363.076200001
36.95168545512839,-76.26701712790269,G03315,,6,-8490005.511,4432374.500699997
36.95165849793267,-76.26718790123147,G03317,,6,-8490024.5214,4432370.7456
36.95148845653758,-76.25960360045912,H033136,,6,-8489180.2409,4432347.059100002
36.95156291901521,-76.26698909687255,G03321,,6,-8490002.3906,4432357.431599997
36.95152116188813,-76.26707388525895,G03322,,6,-8490011.8292,4432351.6149
36.95142991451362,-76.26431710477235,G03347,,6,-8489704.9458,4432338.904299997
36.95136925755527,-76.26427349336191,G03348,,6,-8489700.091,4432330.4548999965
36.95131837384334,-76.26436266642523,G03349,,6,-8489710.0177,4432323.366899997
36.95158924091835,-76.26889846511064,G03525,,6,-8490214.9405,4432361.098200001
36.95137063086947,-76.26905877755792,G03524,,6,-8490232.7864,4432330.646200001
